TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.495339 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.495380 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:48.495386 -0.0179  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.505021 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.545296 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.545373 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.555037 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.574999 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.585008 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.605030 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.634124 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.645027 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.681109 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.681163 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.681199 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:48.691290 0  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.701075 194.9552  
TARGET_DU:Rotation-TorqueAct   2022-12-01 14:23:48.701109 0  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.829108 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.829160 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.829376 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:48.829416 0.0286  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.829419 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.839037 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.860073 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.907258 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.907535 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.907559 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:48.907564 0.0143  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.907568 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:48.995139 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:48.995168 -0.025  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.045085 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.056083 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.065100 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.085091 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.095108 194.9552  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:49.095157 -0.0322  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.105148 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.111088 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.121096 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.133101 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.145132 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.181084 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.181322 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:49.191097 0.0072  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.211133 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.211168 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.329239 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.329267 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.329270 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.329273 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.329492 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.329634 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:49.329646 -0.0536  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.329718 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.329735 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.359110 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.359156 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.407134 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.407323 194.9553  
TARGET_DU:Rotation-VelAct      2022-12-01 14:23:49.407343 0.0429  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.407439 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.445151 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.445178 194.9552  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.455111 194.9553  
TARGET_DU:Rotation-PosAct      2022-12-01 14:23:49.495179 194.9552  
